"Name","Impressions per 7 days","Uniques per 7 days","Average CPM"
"385x280","44645","2246","0.27169811725616455"
"414x64","44645","3088","0.5593082308769226"
"382x250","43802","11231","1.213653802871704"
"1536x2048","43241","41837","10.125715255737305"
"594x280","43241","3369","0.33064931631088257"
"730x90","43241","8423","0.48941564559936523"
"204x200","43241","5615","0.023961037397384644"
"692x60","42960","6458","0.2543136775493622"
"362x280","42960","12916","0.42640528082847595"
"340x60","42398","17970","0.26602643728256226"
"374x312","42398","4492","0.3880794942378998"
"341x280","42398","12635","0.6009933948516846"
"393x720","42398","2246","3.052781581878662"
"728x170","42398","18531","0.24880795180797577"
"375x206","42398","16566","0.12589402496814728"
"962x556","42117","280","0.8368664979934692"
"288x162","41837","30605","1.4971810579299927"
"282x250","41837","12073","0.25369128584861755"
"634x60","41556","14881","0.4188512861728668"
"284x600","41275","13196","0.2319047749042511"
"300x1131","41275","14600","0.6102721691131592"
"373x280","41275","11231","0.27040818333625793"
"320x25","40994","15724","3.4823291301727295"
"212x600","40714","6738","0.11406897008419037"
"570x60","40714","8985","0.22786206007003784"
"336x200","40433","13196","0.3007638454437256"
"310x259","39871","5615","0.5597887635231018"
"291x250","39871","10389","0.08661972731351852"
"294x245","39871","16004","0.03105633519589901"
"600x50","39871","2246","1.7348591089248657"
"360x255","39590","5615","0.2902837097644806"
"365x250","39590","22743","0.9452481865882874"
"575x60","39310","2527","0.07335714995861053"
"914x90","39310","3931","0.25521427392959595"
"854x480","39310","6738","6.505785942077637"
"400x250","39029","19935","0.6627338528633118"
"684x412","39029","1403","13.014166831970215"
"600x918","38748","2246","7.402680397033691"
"372x280","38748","7581","0.8962320685386658"
"288x250","38748","19093","0.9937679767608643"
"480x336","38467","21058","0.20810221135616302"
"580x280","38186","7581","0.17801468074321747"
"476x280","37906","1684","0.5011853575706482"
"812x480","37625","1684","4.829926013946533"
"280x60","37625","10669","0.22149252891540527"
"375x1386","37344","13758","0.32233086228370667"
"692x360","37344","2246","8.497143745422363"
"805x90","37063","3369","0.11416666209697723"
"610x928","37063","2246","4.95090913772583"
"320x90","37063","13758","0.6279546022415161"
"337x60","36783","6738","1.0502289533615112"
"450x374","36502","4773","1.1546924114227295"
"788x100","36502","4211","0.16061539947986603"
"200x300","36502","2246","0.21261538565158844"
"524x280","36502","2807","0.39153823256492615"
"598x50","35659","2246","2.769291400909424"
"356x55","35659","9265","1.4946454763412476"
"325x250","35379","14600","0.6177778244018555"
"402x1479","35098","561","0.012480014003813267"
"380x280","34536","11512","0.4117072522640228"
"412x846","34536","3650","3.3969104290008545"
"1280x672","34536","3369","4.678454399108887"
"984x90","34536","5334","0.25308945775032043"
"323x250","34255","9827","0.9200819134712219"
"672x60","34255","3931","0.18688522279262543"
"414x65","34255","3369","0.6945900321006775"
"976x562","33975","1123","6.945701599121094"
"557x60","33975","5054","0.27942147850990295"
"210x600","33413","4211","0.2819327712059021"
"360x684","33413","2807","5.458907604217529"
"290x280","33413","7581","0.5417646765708923"
"346x50","33132","561","1.2216949462890625"
